,Date,Crop_Type,Soil_Type,Soil_pH,Temperature,Humidity,Wind_Speed,N,P,K,Crop_Yield,Soil_Quality
count,3652,3652,3652,3652.0,3652.0,3652.0,3652.0,3652.0,3652.0,3652.0,3652.0,3652.0
unique,3652,1,5,,,,,,,,,
top,2014-01-01,rice,Clay,,,,,,,,,
freq,1,3652,768,,,,,,,,,
mean,,,,6.595084884994524,23.781364938183998,74.29853128618743,10.032567419621275,77.86473165388828,59.87513691128149,43.8855421686747,28.68822946117808,42.14327765607886
std,,,,0.819768135259181,8.87729916496033,6.740141472423217,2.961165375974961,9.068445075833324,8.37087237769231,7.673299679551198,28.342506450692134,19.380111126368625
min,,,,5.5,-2.266770415938833,49.94999131166793,0.476068740675803,65.0,48.0,33.0,0.0,16.666666666666668
25%,,,,6.25,17.23132466171216,69.79402160084155,7.981693378978314,71.5,54.0,38.5,0.0,27.33333333333333
50%,,,,6.5,22.890080610059037,77.10991938994096,9.979411835504552,78.0,60.0,44.0,23.332898398697672,42.58333333333333
75%,,,,6.75,30.20597839915846,80.0,12.038370116150446,84.5,66.0,49.50000000000001,50.12579718240879,53.08333333333333
max,,,,8.0,50.05000868833207,80.0,19.300488469846805,91.0,72.0,55.00000000000001,124.9603094648133,72.66666666666667
